,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,RF13,RF14,RF15,Hosp_rate,Hosp_rate.lci,Hosp_rate.uci,Hosp_Prob1,Hosp_Prob.lci,Hosp_Prob.uci,Hosp_Prob
112,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0.061,0.028,0.126,0.05917676,0.027611633,0.118385153,5.92
113,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.005,0.003,0.01,0.004987521,0.002995504,0.009950166,0.5
114,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0.007,0.004,0.013,0.006975557,0.003992011,0.012915865,0.7
115,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.017,0.008,0.035,0.016856315,0.007968085,0.034394584,1.69
116,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0.023,0.011,0.045,0.022737516,0.010939721,0.044002518,2.27
117,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0.01,0.005,0.02,0.009950166,0.004987521,0.019801327,1
118,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0.014,0.007,0.027,0.013902456,0.006975557,0.026638758,1.39
119,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0.033,0.016,0.071,0.03246144,0.01587268,0.068538108,3.25
120,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0.045,0.022,0.091,0.044002518,0.021759765,0.086982289,4.4
121,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0.01,0.004,0.019,0.009950166,0.003992011,0.018820638,1
122,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0.013,0.006,0.025,0.012915865,0.005982036,0.024690088,1.29
123,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0.031,0.014,0.069,0.030524427,0.013902456,0.06667332,3.05
124,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0.042,0.02,0.087,0.041130219,0.019801327,0.083322904,4.11
125,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.019,0.009,0.039,0.018820638,0.008959621,0.038249291,1.88
126,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.025,0.013,0.05,0.024690088,0.012915865,0.048770575,2.47
127,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.062,0.028,0.141,0.060117113,0.027611633,0.131510688,6.01
128,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.085,0.038,0.174,0.081487716,0.037287059,0.159703102,8.15
129,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.003,0.001,0.004,0.002995504,0.0009995,0.003992011,0.3
130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.004,0.002,0.006,0.003992011,0.001998001,0.005982036,0.4
131,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.009,0.004,0.016,0.008959621,0.003992011,0.01587268,0.9
132,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.012,0.006,0.021,0.011928287,0.005982036,0.020781035,1.19
133,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.005,0.003,0.009,0.004987521,0.002995504,0.008959621,0.5
134,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.007,0.004,0.012,0.006975557,0.003992011,0.011928287,0.7
135,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.017,0.009,0.031,0.016856315,0.008959621,0.030524427,1.69
136,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.023,0.012,0.041,0.022737516,0.011928287,0.04017087,2.27
137,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.005,0.002,0.009,0.004987521,0.001998001,0.008959621,0.5
138,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.006,0.003,0.012,0.005982036,0.002995504,0.011928287,0.6
139,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.016,0.008,0.031,0.01587268,0.007968085,0.030524427,1.59
140,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0.021,0.011,0.041,0.020781035,0.010939721,0.04017087,2.08
141,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.01,0.005,0.018,0.009950166,0.004987521,0.017838968,1
142,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.013,0.007,0.023,0.012915865,0.006975557,0.022737516,1.29
143,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0.031,0.015,0.062,0.030524427,0.01488806,0.060117113,3.05
144,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0.042,0.021,0.081,0.041130219,0.020781035,0.077806309,4.11
145,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.004,0.002,0.006,0.003992011,0.001998001,0.005982036,0.4
