RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,est,lci,uci
0,0,1,0,0,1,1,1,1,0,11.463,4.233,28.486
0,0,1,0,0,1,1,1,1,1,12.853,4.805,31.66
0,0,1,0,1,0,0,0,0,0,2.976,2.401,3.63
0,0,1,0,1,0,0,0,0,1,3.32,2.695,4.107
0,0,1,0,1,0,0,0,1,0,3.079,2.682,3.487
0,0,1,0,1,0,0,0,1,1,3.444,2.971,3.979
0,0,1,0,1,0,0,1,0,0,8.823,6.009,13.071
0,0,1,0,1,0,0,1,0,1,9.886,6.717,14.637
0,0,1,0,1,0,0,1,1,0,9.145,6.507,12.874
0,0,1,0,1,0,0,1,1,1,10.219,7.239,14.657
0,0,1,0,1,0,1,0,0,0,6.226,2.511,15.817
0,0,1,0,1,0,1,0,0,1,6.904,2.849,17.352
0,0,1,0,1,0,1,0,1,0,6.414,2.723,15.457
0,0,1,0,1,0,1,0,1,1,7.183,3.058,17.125
0,0,1,0,1,0,1,1,0,0,18.694,6.829,48.651
0,0,1,0,1,0,1,1,0,1,20.866,7.583,54.725
0,0,1,0,1,0,1,1,1,0,19.15,7.347,49.32
0,0,1,0,1,0,1,1,1,1,21.438,8.297,56.046
0,0,1,0,1,1,0,0,0,0,4.386,3.531,5.438
0,0,1,0,1,1,0,0,0,1,4.924,3.952,6.129
0,0,1,0,1,1,0,0,1,0,4.557,3.926,5.248
0,0,1,0,1,1,0,0,1,1,5.097,4.361,5.97
0,0,1,0,1,1,0,1,0,0,13.103,8.908,19.446
0,0,1,0,1,1,0,1,0,1,14.744,9.909,21.968
0,0,1,0,1,1,0,1,1,0,13.605,9.481,19.313
0,0,1,0,1,1,0,1,1,1,15.25,10.647,21.79
0,0,1,0,1,1,1,0,0,0,9.295,3.791,23.53
0,0,1,0,1,1,1,0,0,1,10.272,4.147,25.784
0,0,1,0,1,1,1,0,1,0,9.551,4.005,23.097
0,0,1,0,1,1,1,0,1,1,10.714,4.478,25.65
0,0,1,0,1,1,1,1,0,0,27.778,9.774,72.893
0,0,1,0,1,1,1,1,0,1,31.033,11.178,81.566
0,0,1,0,1,1,1,1,1,0,28.389,10.879,72.274
0,0,1,0,1,1,1,1,1,1,31.633,12.315,81.397
0,0,1,1,0,0,0,0,0,0,1.972,1.392,2.784
0,0,1,1,0,0,0,0,0,1,2.21,1.57,3.158
0,0,1,1,0,0,0,0,1,0,2.044,1.484,2.815
0,0,1,1,0,0,0,0,1,1,2.288,1.66,3.179
0,0,1,1,0,0,0,1,0,0,5.976,3.638,9.468
0,0,1,1,0,0,0,1,0,1,6.646,4.078,10.805
0,0,1,1,0,0,0,1,1,0,6.193,3.885,9.709
0,0,1,1,0,0,0,1,1,1,6.904,4.306,10.878
0,0,1,1,0,0,1,0,0,0,4.09,1.532,10.992
0,0,1,1,0,0,1,0,0,1,4.602,1.74,12.153
0,0,1,1,0,0,1,0,1,0,4.276,1.617,11.007
0,0,1,1,0,0,1,0,1,1,4.83,1.821,12.572
0,0,1,1,0,0,1,1,0,0,12.229,4.213,34.171
0,0,1,1,0,0,1,1,0,1,13.738,4.776,38.163
0,0,1,1,0,0,1,1,1,0,12.714,4.582,33.881
0,0,1,1,0,0,1,1,1,1,14.245,5.142,38.185
0,0,1,1,0,1,0,0,0,0,2.921,2.02,4.147
0,0,1,1,0,1,0,0,0,1,3.287,2.298,4.619
0,0,1,1,0,1,0,0,1,0,3.042,2.181,4.176
0,0,1,1,0,1,0,0,1,1,3.399,2.441,4.737
0,0,1,1,0,1,0,1,0,0,8.849,5.365,14.09
0,0,1,1,0,1,0,1,0,1,9.908,6.029,15.888
0,0,1,1,0,1,0,1,1,0,9.146,5.679,14.254
0,0,1,1,0,1,0,1,1,1,10.271,6.376,16.084
0,0,1,1,0,1,1,0,0,0,6.108,2.227,16.325
0,0,1,1,0,1,1,0,0,1,6.859,2.498,17.981
0,0,1,1,0,1,1,0,1,0,6.3,2.366,16.632
0,0,1,1,0,1,1,0,1,1,7.053,2.616,18.703
0,0,1,1,0,1,1,1,0,0,18.201,6.201,51.796
0,0,1,1,0,1,1,1,0,1,20.464,7.003,57.661
0,0,1,1,0,1,1,1,1,0,18.877,6.824,50.168
0,0,1,1,0,1,1,1,1,1,21.101,7.453,56.789
0,0,1,1,1,0,0,0,0,0,4.922,3.402,7.043
0,0,1,1,1,0,0,0,0,1,5.493,3.8,7.941
0,0,1,1,1,0,0,0,1,0,5.117,3.654,7.094
0,0,1,1,1,0,0,0,1,1,5.692,4.083,8.041
0,0,1,1,1,0,0,1,0,0,14.837,8.892,24.22
0,0,1,1,1,0,0,1,0,1,16.601,9.89,27.209
0,0,1,1,1,0,0,1,1,0,15.446,9.336,24.315
0,0,1,1,1,0,0,1,1,1,17.168,10.359,27.395
0,0,1,1,1,0,1,0,0,0,10.188,3.917,27.275
0,0,1,1,1,0,1,0,0,1,11.403,4.423,31.041
0,0,1,1,1,0,1,0,1,0,10.632,4.054,27.387
0,0,1,1,1,0,1,0,1,1,11.856,4.511,30.927
0,0,1,1,1,0,1,1,0,0,30.509,10.695,84.737
0,0,1,1,1,0,1,1,0,1,34.235,12.289,93.308
0,0,1,1,1,0,1,1,1,0,31.415,11.526,84.924
0,0,1,1,1,0,1,1,1,1,35.423,12.579,94.518
0,0,1,1,1,1,0,0,0,0,7.272,5.065,10.5
0,0,1,1,1,1,0,0,0,1,8.174,5.604,11.946
0,0,1,1,1,1,0,0,1,0,7.585,5.299,10.571
0,0,1,1,1,1,0,0,1,1,8.448,5.91,12.06
0,0,1,1,1,1,0,1,0,0,22.014,13.011,35.759
0,0,1,1,1,1,0,1,0,1,24.706,14.493,40.005
0,0,1,1,1,1,0,1,1,0,22.84,13.934,36.06
0,0,1,1,1,1,0,1,1,1,25.555,15.371,40.092
0,0,1,1,1,1,1,0,0,0,15.011,5.739,40.325
0,0,1,1,1,1,1,0,0,1,16.861,6.396,46.099
0,0,1,1,1,1,1,0,1,0,15.732,5.787,41.587
0,0,1,1,1,1,1,0,1,1,17.699,6.775,45.805
0,0,1,1,1,1,1,1,0,0,45.297,15.876,126.609
0,0,1,1,1,1,1,1,0,1,50.788,18.266,143.96
0,0,1,1,1,1,1,1,1,0,46.88,17.191,125.975
0,0,1,1,1,1,1,1,1,1,52.764,18.673,140.03
0,1,0,0,0,0,0,0,0,0,1.93,1.692,2.189
0,1,0,0,0,0,0,0,0,1,2.159,1.89,2.478
0,1,0,0,0,0,0,0,1,0,1.902,1.663,2.18
0,1,0,0,0,0,0,0,1,1,2.131,1.846,2.46
0,1,0,0,0,0,0,1,0,0,5.743,4.038,8.257
