,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,RF13,RF14,RF15,est,lci,uci
204,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,12.833,6.954,23.341
205,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,5.789,4.156,7.945
206,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,7.758,4.696,12.818
207,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,18.811,12.052,29.254
208,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,25.531,13.885,46.433
209,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2.177,1.931,2.483
210,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2.957,1.878,4.404
211,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,7.229,5.13,10.027
212,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,9.672,5.816,16.285
213,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,4.329,3.742,5.051
214,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,5.877,3.79,8.841
215,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,14.371,10.132,20.223
216,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,19.211,11.493,32.757
217,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,4.07,2.855,5.577
218,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,5.512,3.242,8.943
219,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,13.307,8.364,20.475
220,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,18.006,9.654,32.969
221,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,8.143,5.75,11.186
222,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,10.895,6.515,18.215
223,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,26.481,16.57,41.356
224,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,35.769,19.251,65.667
225,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2.404,1.576,3.567
226,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3.208,1.849,5.692
227,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,7.905,4.684,13.186
228,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,10.702,5.79,20.53
229,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,4.797,3.144,7.055
230,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,6.436,3.658,11.426
231,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,15.746,9.356,26.63
232,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,21.123,11.498,40.601
233,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4.486,2.695,7.36
234,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,5.996,3.171,11.516
235,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,14.647,8.01,26.919
236,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,19.761,9.926,39.873
237,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,8.893,5.338,14.625
238,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,11.955,6.291,22.886
239,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,29.245,16.217,53.744
240,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,39.141,19.887,80.985
241,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3.366,2.215,5.102
242,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,4.54,2.591,8.014
243,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,11.132,6.594,18.601
244,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,14.957,8.121,28.593
245,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,6.719,4.362,10.153
